Open	High	Low	Close	Adj Close	Volume	change	ma5	ma10	ma20	v_ma5	v_ma10	v_ma20	symbol	company	list_date	v_change
0.69	0.7	0.67	0.7	0.7	12600	0.0	0.68	0.68	0.62	17392.8	29703.0	68307.9	BIO	"Biome Grow Inc.
"	2018-10-09	-4792.8
0.11	0.11	0.11	0.11	0.11	0	-0.64	0.59	0.63	0.69	120.0	3900.0	2861.65	ZRO	"BIOSENTA Inc.
"	2012-06-06	-120.0
0.04	0.04	0.04	0.04	0.04	101000	0.0	0.04	0.04	0.04	70400.0	359550.0	359317.4	BDR	"Bird River Resources Inc.
"	2011-02-07	30600.0
0.0	0.0	0.0	0.0	0.0	0	-0.09	0.07	0.08	0.09	0.0	0.0	0.0	BRH	"BitRush Corp.
"	2015-09-10	0.0
0.2	0.2	0.19	0.2	0.2	11750	0.01	0.2	0.21	0.21	4950.0	8575.0	12222.5	TUSK	Black Tusk Resources Inc.	2017-11-10	6800.0
0.3	0.32	0.28	0.29	0.29	22476	0.25	0.09	0.07	0.05	4495.2	2247.6	1123.8	BLIS	BlissCo Cannabis Corp.	2018-03-02	17980.8
0.05	0.05	0.05	0.05	0.05	4000	0.01	0.04	0.09	0.07	3800.0	3074.3	1886.85	BXXX	"Block X Capital Corp,
"	2018-01-24	200.0
0.03	0.03	0.03	0.03	0.03	239500	-1.12	0.93	0.95	1.03	47900.0	24125.0	12155.0	BCFN	Blockchain Foundry Inc.	2018-05-14	191600.0
0.45	0.45	0.45	0.45	0.45	0	0.0	0.45	0.45	0.63	100.0	100.0	312.75	BCX	"Blockchain Holdings Ltd.
"	2018-10-12	-100.0
0.01	0.01	0.01	0.01	0.01	100000	0.0	0.01	0.01	0.01	87176.8	133243.0	211571.5	PLAY	"Blocplay Entertainment Inc.
"	2018-02-02	12823.2
0.02	0.02	0.02	0.02	0.02	159500	0.0	0.02	0.02	0.02	95980.6	119815.2	135566.8	BLK	"BLOK Technologies Inc.
"	2018-02-02	63519.4
0.04	0.04	0.04	0.04	0.04	56000	-0.96	0.81	0.84	0.79	11200.0	5765.9	12872.95	BLOX	Blox Labs Inc.	2017-11-21	44800.0
0.04	0.05	0.04	0.05	0.05	99201	-0.0	0.05	0.05	0.05	19840.2	9920.1	4960.05	BLVD	BLVD Centers Corporation	2018-06-26	79360.8
0.66	0.71	0.65	0.71	0.71	169059	-0.94	2.27	2.64	1.95	33903.0	17018.2	8855.85	BAMM	"Body and Mind Inc.
"	07-De-17	135156.0
0.04	0.04	0.04	0.04	0.04	262000	0.0	0.04	0.04	0.04	119657.0	307437.6	153718.8	BOG	Bougainville Ventures Inc.	2018-08-31	142343.0
0.12	0.12	0.12	0.12	0.12	5000	0.04	0.11	0.11	0.11	10100.0	5050.0	8526.75	BCA	Bradstone Capital Corp. 	2016-03-14	-5100.0
0.14	0.16	0.14	0.15	0.15	75025	0.01	0.13	0.12	0.13	87580.4	59562.9	56294.65	BTH	Breathtec BioMedical Inc.	2016-02-01	-12555.4
0.12	0.12	0.12	0.12	0.12	50000	0.02	0.1	0.1	0.09	10600.0	10150.0	32370.0	BZI	Brisio Innovations Inc. 	2014-02-12	39400.0
0.06	0.06	0.06	0.06	0.06	0	0.0	0.06	0.09	0.09	5900.0	43940.0	45099.9	BNKR	"Bunker Hill Mining Corp.
"	2017-11-29	-5900.0
0.74	0.75	0.7	0.74	0.74	164315	0.64	0.23	0.16	0.13	33373.0	16996.5	8613.25	CXXI	C21 Investments Inc. 	2018-06-18	130942.0
0.12	0.12	0.12	0.12	0.12	11000	-1.38	1.22	1.36	1.43	2200.0	1100.0	550.0	LILY	"Callitas Health Inc.
"	2017-09-20	8800.0
0.16	0.16	0.16	0.16	0.16	231336	0.11	0.07	0.06	0.05	46267.2	23133.6	11566.8	CHV	"Canada House Wellness Group Inc.
"	2016-11-09	185068.8
0.07	0.07	0.06	0.06	0.06	23300	0.01	0.06	0.06	0.05	6860.0	4338.2	7169.1	CME	Canadian Metals Inc. 	2013-07-02	16440.0
0.06	0.06	0.06	0.06	0.06	0	-0.44	0.41	0.45	0.49	3529.4	9849.5	20789.0	CSQ	Canamex Gold Corp. 	2018-05-07	-3529.4
1.01	1.13	1.01	1.1	1.1	101108	0.11	1.01	0.94	1.03	95506.2	110949.6	86489.75	CGOC	Cannabis Growth Opportunity Corporation	2018-01-29	5601.8
1.54	1.61	1.54	1.57	1.57	141181	1.43	0.42	0.27	0.2	133370.4	95445.2	101801.65	BLO	"Cannabix Technologies Inc.
"	2014-06-24	7810.6
0.84	0.84	0.84	0.84	0.84	500	0.14	0.76	0.71	0.76	2091.6	1842.0	5241.55	CANA	CannAmerica Brands Corp.	2018-10-15	-1591.6
6.89	7.33	6.42	7.0	7.0	344270	-0.29	7.19	7.68	7.45	523820.6	560400.4	514032.85	CRZ	CannaRoyalty Corp.	2016-12-08	-179550.6
0.92	0.95	0.92	0.93	0.93	65057	0.67	0.4	0.29	0.26	13046.0	6622.2	3443.35	CNNX	Cannex Capital Holdings Inc.	2018-03-14	52011.0
1.01	1.14	1.01	1.14	1.14	20236	0.14	1.03	1.01	1.01	4047.2	2023.6	1086.8	PILL	"Canntab Therapeutics Limited
"	2018-04-20	16188.8
